GradeLevel,Correct
9.15,0
9.76,0
14.04,1
9.77,0
7.2,1
6.82,0
9.15,0
9.76,0
14.04,1
9.77,0
7.2,1
6.82,1
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
9.15,0
9.76,1
14.04,1
9.77,0
7.2,0
6.82,1
9.15,0
9.76,0
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,0
14.04,0
9.77,0
7.2,1
6.82,0
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,1
14.04,0
9.77,0
7.2,0
6.82,0
9.15,0
9.76,0
14.04,1
9.77,0
7.2,0
6.82,0
9.15,0
9.76,0
14.04,0
9.77,1
7.2,0
6.82,1
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,0
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,0
14.04,0
9.77,1
7.2,1
6.82,0
9.15,0
9.76,0
14.04,0
9.77,0
7.2,0
6.82,0
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,0
14.04,1
9.77,0
7.2,0
6.82,1
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,0
14.04,1
9.77,0
9.15,0
9.76,0
14.04,0
9.77,0
7.2,1
6.82,0
9.15,0
9.76,0
14.04,0
9.77,1
7.2,0
6.82,1
9.15,0
9.76,0
14.04,1
9.77,0
7.2,1
6.82,1
9.15,0
9.76,0
14.04,0
9.77,0
7.2,0
6.82,0
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,0
14.04,0
9.77,0
7.2,1
9.15,0
9.76,0
14.04,1
9.77,0
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,1
14.04,0
9.77,0
7.2,0
6.82,0
9.15,0
9.76,0
14.04,1
9.77,0
7.2,0
6.82,0
9.15,0
9.76,0
14.04,0
9.77,0
7.2,0
6.82,1
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,0
14.04,1
9.77,0
7.2,0
6.82,0
9.15,0
9.76,0
14.04,1
9.77,0
7.2,0
6.82,0
9.15,0
9.76,1
14.04,0
9.77,0
7.2,0
6.82,1
9.15,0
9.76,0
14.04,0
9.77,0
7.2,1
6.82,0
9.15,0
9.76,1
14.04,0
9.77,0
7.2,0
6.82,0
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,0
14.04,0
9.77,0
7.2,0
6.82,1
9.15,0
9.76,0
14.04,1
9.77,0
7.2,1
6.82,0
9.15,0
9.76,0
14.04,1
9.77,0
7.2,0
6.82,0
9.15,0
9.76,0
14.04,1
9.77,0
7.2,0
6.82,0
9.15,0
9.76,0
14.04,1
9.77,0
7.2,0
6.82,0
9.15,0
9.76,0
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,0
14.04,1
9.77,0
7.2,0
6.82,0
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,0
14.04,1
9.77,0
7.2,1
6.82,0
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,0
14.04,0
9.77,0
7.2,0
6.82,0
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,0
9.76,0
14.04,1
9.77,1
7.2,0
6.82,0
9.15,0
9.76,0
14.04,0
9.77,1
7.2,0
6.82,0
9.15,0
9.76,1
14.04,0
9.77,0
7.2,1
6.82,1
9.15,0
9.76,0
14.04,0
9.77,0
7.2,1
6.82,0
9.15,0
9.76,0
14.04,0
9.77,0
7.2,1
6.82,1
