Type,ResponseTime
Security,1823
Safety,1300
Security,1182
Security,3432
Safety,4640
Safety,5764
Security,5581
Safety,2665
Security,2204
Security,3457
Safety,8883
Safety,6380
Security,5295
Safety,8188
Security,4167
Security,9312
Safety,6499
Security,3141
Safety,16735
Security,2451
Security,7985
Safety,6007
Safety,4670
Security,3072
Safety,2853
Security,2903
Security,3180
Safety,5976
Safety,4479
Security,2365
Safety,1531
Security,1867
Security,1384
Safety,4269
Safety,1565
Security,2509
Safety,3819
Security,2558
Security,2654
Safety,3838
Safety,2936
Security,3757
Safety,6443
Security,2885
Security,4427
Safety,2429
Safety,2718
Security,2695
Safety,4494
Security,3033
Security,5138
Safety,5296
Safety,3120
Security,3430
Safety,2117
Security,3329
Security,2510
Safety,3869
Safety,4739
Security,9210
Safety,4369
Security,1985
Security,1706
Safety,2621
Safety,1997
Security,3018
Safety,2119
Security,1687
Security,1750
Safety,1465
Safety,1256
Security,4648
Safety,5801
Security,3486
Security,3983
Safety,2596
Safety,3382
Security,5635
Safety,3809
Security,2737
Security,5362
Safety,3926
Safety,4939
Security,5503
Safety,3565
Security,3775
Security,4470
Safety,4334
Safety,2340
Security,2874
Safety,5904
Security,1705
Security,3420
Safety,1609
Safety,3601
Security,3541
Safety,4789
Security,4852
Security,4663
Safety,4475
Safety,9076
Security,2583
Safety,1380
Security,1655
Security,1481
Safety,4472
Safety,4657
Security,4274
Safety,3348
Security,2949
Security,6013
Safety,3401
Safety,3980
Security,2786
Safety,2129
Security,1261
Security,53430
Security,3633
Safety,1264
Security,3137
Security,2680
Safety,3272
Safety,5311
Security,6541
Safety,3197
Security,1378
Security,1154
Safety,1290
Safety,2046
Security,4958
Safety,15258
Security,3129
Security,14092
Safety,11941
Safety,5609
Security,1571
Safety,2241
Security,1804
Security,2004
Safety,1611
Safety,2569
Security,3449
Safety,4599
Security,2142
Security,2841
Safety,3243
Safety,3544
Security,45654
Safety,4632
Security,2011
Security,4144
Safety,5999
Security,1907
Safety,4696
Security,2496
Security,5064
Security,3801
Safety,4638
Security,3718
Security,2826
Safety,5868
Safety,3870
Security,6217
Safety,7519
Security,3039
Security,4729
Safety,1805
Safety,2422
Security,4365
Safety,1892
Security,1400
Security,1213
Safety,1594
Safety,1635
Security,3314
Safety,7032
Security,3485
Security,8390
Safety,9081
Safety,6175
Security,2783
Safety,8920
Security,4718
Security,6041
Safety,7049
Safety,5001
Security,2991
Safety,2996
Security,2122
Security,5297
Safety,4921
Safety,3588
Security,2693
Safety,1355
Security,2173
Security,1236
Safety,1527
Safety,1093
Security,1589
Safety,1667
Security,1579
Security,1380
Safety,1970
Safety,2236
Security,2611
Safety,5747
Security,1991
Security,6237
Safety,7743
Safety,5817
Security,7281
Safety,6502
Security,3652
Security,6204
Safety,7120
Safety,5278
Security,3649
Safety,2412
Security,1773
Security,1638
Safety,3418
Safety,1091
Security,1278
Safety,5833
Security,5968
Security,5826
Safety,4502
Safety,5114
Security,4540
Safety,1446
Security,6168
Security,5936
Safety,1353
Safety,3389
Security,4549
Safety,3299
Security,1930
Security,1422
Safety,3907
Safety,6855
Security,2336
Safety,1367
Security,1343
Security,1386
Safety,1776
Safety,1394
Security,3041
Safety,1820
Security,1442
Security,1162
Safety,1735
Safety,3961
Security,3037
Safety,1951
Security,1401
Security,1232
Safety,1394
Safety,4343
Security,3624
Safety,3846
Security,2394
Security,3051
Safety,4887
Safety,4136
Security,3630
Safety,4402
Security,3254
Security,3783
Safety,3529
Safety,3227
Security,4155
Safety,4203
Security,2579
Security,2926
Safety,4040
Safety,3228
Security,8506
Safety,2823
Security,1515
Security,1657
Safety,2024
Safety,1708
Security,2750
Safety,3139
Security,2331
Security,3273
Safety,3165
Safety,2426
Security,3472
Safety,5643
Security,3763
Security,4171
Safety,3566
Safety,3998
Security,5003
Safety,1712
Security,3946
Security,5345
Safety,3709
Safety,9435
Security,5293
Safety,7617
Security,3335
Security,4645
Safety,4869
Safety,7398
Security,5182
Safety,9716
Security,2404
Security,8757
Safety,14770
Safety,4956
Security,2672
Safety,1454
Security,1545
Security,1537
Safety,3074
Safety,1487
Security,6629
Safety,5508
Security,11834
Security,6663
Safety,4230
Safety,9168
Security,5206
Safety,6238
Security,2520
Security,2633
Safety,5173
Safety,4282
Security,2221
Safety,1705
Safety,1727
Security,1632
Security,1820
Safety,2402
Safety,1644
Security,2569
Safety,2183
Security,3804
Security,2089
Safety,2636
Safety,1684
Security,4319
Safety,7771
Security,3602
Security,7339
Safety,5626
Safety,3441
Security,2108
Safety,4966
Security,3573
Security,5829
Safety,2305
Safety,2178
Security,2140
Safety,2916
Security,2789
Security,4732
Safety,4038
Safety,3684
