EducationLevel,NotificationCorrect,FinalScore
Bachelors,1,3700
High School,2,600
Bachelors,3,500
Bachelors,2,700
Bachelors,4,2100
PhD,1,900
Masters,5,900
Bachelors,4,700
Bachelors,4,900
Other,3,900
Bachelors,0,200
Masters,1,500
High School,5,1000
Bachelors,2,800
Bachelors,1,400
Bachelors,2,700
High School,5,500
Bachelors,1,400
Masters,4,800
High School,0,-200
Bachelors,3,1300
Bachelors,2,-800
High School,3,200
High School,0,1700
Other,6,500
Bachelors,2,300
Bachelors,0,-200
Bachelors,5,-500
Bachelors,2,200
High School,0,600
Masters,2,700
High School,5,800
Bachelors,4,1200
Bachelors,0,700
High School,0,1000
Bachelors,3,700
High School,2,700
High School,3,700
PhD,5,700
Bachelors,3,600
High School,1,400
Bachelors,0,400
High School,0,700
Bachelors,0,900
High School,2,1500
High School,5,100
High School,6,1000
Bachelors,0,800
Bachelors,4,600
Masters,4,1100
High School,3,100
Bachelors,4,100
Bachelors,4,600
Bachelors,0,300
Bachelors,6,300
High School,3,800
Bachelors,0,500
Bachelors,0,900
Masters,5,600
Bachelors,4,1000
Bachelors,4,700
