Type,ResponseAnswer
Security,correct
Safety,incorrect
Safety,correct
Security,incorrect
Security,incorrect
Safety,correct
Safety,incorrect
Security,incorrect
Safety,correct
Security,incorrect
Security,correct
Safety,correct
Safety,incorrect
Safety,correct
Safety,correct
Security,incorrect
Security,correct
Security,incorrect
Security,incorrect
Safety,correct
Safety,incorrect
Safety,correct
Safety,incorrect
Safety,correct
Security,correct
Safety,correct
Safety,correct
Safety,correct
Security,incorrect
Security,incorrect
Safety,incorrect
Safety,incorrect
Security,incorrect
Security,incorrect
