participantID,notificationTime,correct
A4J4GGMKJ68L0,70.066,incorrect
A4J4GGMKJ68L0,78.958,incorrect
A4J4GGMKJ68L0,101.717,incorrect
A4J4GGMKJ68L0,117.918,incorrect
A4J4GGMKJ68L0,139.023,correct
A4J4GGMKJ68L0,162.27,incorrect
ADVIE0ZHLWDDH,203.415,incorrect
ADVIE0ZHLWDDH,217.286,incorrect
ADVIE0ZHLWDDH,239.156,incorrect
ADVIE0ZHLWDDH,256.431,incorrect
ADVIE0ZHLWDDH,276.01,correct
ADVIE0ZHLWDDH,307.037,correct
A1Y0Y6U906ABT5,200.542,incorrect
A1Y0Y6U906ABT5,219.546,correct
A1Y0Y6U906ABT5,243.074,incorrect
A1Y0Y6U906ABT5,269.305,correct
A1Y0Y6U906ABT5,297.174,correct
A1HWTTN3JEUNZY,70.176,incorrect
A1HWTTN3JEUNZY,95.197,correct
A1HWTTN3JEUNZY,125.448,incorrect
A1HWTTN3JEUNZY,141.955,incorrect
A1HWTTN3JEUNZY,166.708,incorrect
A1HWTTN3JEUNZY,185.981,correct
A1A3TGZ7DKJWRW,77.198,incorrect
A1A3TGZ7DKJWRW,89.097,incorrect
A1A3TGZ7DKJWRW,108.911,correct
A1A3TGZ7DKJWRW,123.849,correct
A1A3TGZ7DKJWRW,144.685,correct
A1A3TGZ7DKJWRW,162.31,correct
AC5UD8N187QD6,81.684,incorrect
AC5UD8N187QD6,104.06,incorrect
AC5UD8N187QD6,121.56,incorrect
AC5UD8N187QD6,136.108,incorrect
AC5UD8N187QD6,147.392,correct
AC5UD8N187QD6,172.201,incorrect
A2C84POENS2UNY,61.125,incorrect
A2C84POENS2UNY,71.741,correct
A2C84POENS2UNY,88.891,correct
A2C84POENS2UNY,110.228,correct
A2C84POENS2UNY,122.393,correct
A2C84POENS2UNY,146.499,correct
A1XPUUD0HLD6HB,98.762,incorrect
A1XPUUD0HLD6HB,121.393,correct
A1XPUUD0HLD6HB,141.984,incorrect
A1XPUUD0HLD6HB,156.217,correct
A1XPUUD0HLD6HB,173.029,correct
A1XPUUD0HLD6HB,186.132,correct
A1P6OXEJ86HQRM,119.294,incorrect
A1P6OXEJ86HQRM,129.93,correct
A1P6OXEJ86HQRM,154.625,incorrect
A1P6OXEJ86HQRM,174.385,correct
A1P6OXEJ86HQRM,189.673,correct
A1P6OXEJ86HQRM,210.741,correct
A18MC27WTCEBA2,175.599,correct
A18MC27WTCEBA2,186.416,correct
A18MC27WTCEBA2,205.652,incorrect
A18MC27WTCEBA2,216.798,correct
A18MC27WTCEBA2,231.68,incorrect
A18MC27WTCEBA2,253.65,incorrect
A1OOS9Z432SQB0,169.784,incorrect
A1OOS9Z432SQB0,196.824,incorrect
A1OOS9Z432SQB0,213.696,incorrect
A1OOS9Z432SQB0,236.214,incorrect
A1OOS9Z432SQB0,257.211,incorrect
A1OOS9Z432SQB0,273.292,incorrect
A3GJWXA13GMS9H,170.413,incorrect
A3GJWXA13GMS9H,188.248,incorrect
A3GJWXA13GMS9H,200.862,incorrect
A3GJWXA13GMS9H,215.988,incorrect
A3GJWXA13GMS9H,230.732,incorrect
A3GJWXA13GMS9H,241.462,correct
AOWW3URQNRJ6U,59.342,incorrect
AOWW3URQNRJ6U,76.578,correct
AOWW3URQNRJ6U,95.394,correct
AOWW3URQNRJ6U,118.283,correct
AOWW3URQNRJ6U,143.272,correct
AOWW3URQNRJ6U,153.547,correct
A1KQWBK5WHCNYQ,131.126,incorrect
A1KQWBK5WHCNYQ,157.715,incorrect
A1KQWBK5WHCNYQ,169.443,incorrect
A1KQWBK5WHCNYQ,192.222,incorrect
A1KQWBK5WHCNYQ,206.963,correct
A1KQWBK5WHCNYQ,223.744,correct
AZ57C58RDAMJF,184.514,incorrect
AZ57C58RDAMJF,197.387,incorrect
AZ57C58RDAMJF,219.473,incorrect
AZ57C58RDAMJF,236.257,incorrect
AZ57C58RDAMJF,262.084,correct
AZ57C58RDAMJF,279.681,incorrect
A2YCMT5BPA0AG9,150.791,incorrect
A2YCMT5BPA0AG9,172.792,incorrect
A2YCMT5BPA0AG9,188.112,correct
A2YCMT5BPA0AG9,206.756,correct
A2YCMT5BPA0AG9,217.311,incorrect
A2YCMT5BPA0AG9,237.616,incorrect
A1Y7W3SY9XKGJC,103.159,correct
A1Y7W3SY9XKGJC,127.007,correct
A1Y7W3SY9XKGJC,148.036,incorrect
A1Y7W3SY9XKGJC,163.445,correct
A1Y7W3SY9XKGJC,180.797,correct
A1Y7W3SY9XKGJC,205.736,correct
AB5EN36L2TOZ3,141.271,incorrect
AB5EN36L2TOZ3,156.198,incorrect
AB5EN36L2TOZ3,170.238,incorrect
AB5EN36L2TOZ3,184.5,incorrect
AB5EN36L2TOZ3,194.869,incorrect
AB5EN36L2TOZ3,206.922,correct
