ParticipantID,PrimaryTaskEntryTime,Score
A13VIJ7G997ZCY,64.511,-100
A13VIJ7G997ZCY,73.023,0
A13VIJ7G997ZCY,79.311,100
A13VIJ7G997ZCY,87.687,200
A13VIJ7G997ZCY,97.015,100
A13VIJ7G997ZCY,108.727,0
A13VIJ7G997ZCY,120.249,-100
A13VIJ7G997ZCY,128.095,0
A13VIJ7G997ZCY,138.527,100
A13VIJ7G997ZCY,145.408,200
A13VIJ7G997ZCY,159.063,100
A13VIJ7G997ZCY,166.599,200
A13VIJ7G997ZCY,171.662,300
A13VIJ7G997ZCY,184.144,200
A13VIJ7G997ZCY,198.991,300
A13VIJ7G997ZCY,209.319,400
A13VIJ7G997ZCY,216.007,500
A13VIJ7G997ZCY,222.758,600
A1TLNLB9D87H6,121.637,100
A1TLNLB9D87H6,145.239,100
A1TLNLB9D87H6,162.922,200
A1TLNLB9D87H6,182.985,300
A1TLNLB9D87H6,210.759,400
A1TLNLB9D87H6,226.861,500
A1TLNLB9D87H6,239.14,600
A1TLNLB9D87H6,248.902,700
A1TLNLB9D87H6,256.903,800
A27GZN1JOOIAUW,111.414,100
A27GZN1JOOIAUW,127.065,200
A27GZN1JOOIAUW,134.557,300
A27GZN1JOOIAUW,163.876,100
A27GZN1JOOIAUW,172.653,200
A27GZN1JOOIAUW,183.526,100
A27GZN1JOOIAUW,197.038,200
A27GZN1JOOIAUW,213.942,300
A27GZN1JOOIAUW,222.134,400
A27GZN1JOOIAUW,236.817,500
A27GZN1JOOIAUW,247.99,600
A27GZN1JOOIAUW,258.228,700
A27GZN1JOOIAUW,265.649,800
A27GZN1JOOIAUW,278.31,900
A27GZN1JOOIAUW,288.887,1000
A27GZN1JOOIAUW,298.482,1100
ALEJV7D94ZLHF,169.221,100
ALEJV7D94ZLHF,179.266,100
ALEJV7D94ZLHF,193.639,200
ALEJV7D94ZLHF,203.001,300
ALEJV7D94ZLHF,215.258,400
ALEJV7D94ZLHF,223.378,500
ALEJV7D94ZLHF,231.504,600
