Type,Answer
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,incorrect
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,incorrect
Security,incorrect
Security,incorrect
Security,incorrect
Security,incorrect
Security,incorrect
Security,incorrect
Security,correct
Security,correct
Security,incorrect
Security,incorrect
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,incorrect
Security,correct
Security,incorrect
Security,correct
Security,incorrect
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,incorrect
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,incorrect
Security,incorrect
Security,incorrect
Security,incorrect
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,incorrect
Security,correct
Security,correct
Security,correct
Security,incorrect
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,incorrect
Security,incorrect
Security,incorrect
Security,incorrect
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,incorrect
Security,correct
Security,incorrect
Security,correct
Security,incorrect
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,incorrect
Security,correct
Security,correct
Security,correct
Security,correct
Security,incorrect
Security,incorrect
Security,correct
Security,correct
Security,incorrect
Security,correct
Security,correct
Security,incorrect
Security,incorrect
Security,correct
Security,incorrect
Security,correct
Security,correct
Security,incorrect
Security,correct
Security,incorrect
Security,correct
Security,correct
Security,correct
Security,correct
Security,incorrect
Security,correct
Security,correct
Security,incorrect
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,incorrect
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,incorrect
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
Security,incorrect
Security,incorrect
Security,correct
Security,incorrect
Security,correct
Security,incorrect
Security,incorrect
Security,correct
Security,incorrect
Security,correct
Security,incorrect
Security,correct
Security,incorrect
Security,correct
Security,correct
Security,correct
Security,correct
Security,correct
