avg,secAvg,safAvg
3350.5,2938.6666666666665,3762.3333333333335
6520.166666666667,5497,7543.333333333333
2907.8333333333335,3281,2534.6666666666665
2825.5714285714284,2412.5,3376.3333333333335
2982,2577,3387
4200.833333333333,3721,4680.666666666667
2594,2592.6666666666665,2595.3333333333335
4310.666666666667,2263,6358.333333333333
4436,4074.6666666666665,4797.333333333333
3677.8333333333335,3984,3371.6666666666665
4749.166666666667,4211,5287.333333333333
4916.166666666667,4280.333333333333,5552
2389,3074.6666666666665,1703.3333333333333
7188.833333333333,5907,8470.666666666666
7400.666666666667,8151.333333333333,6650
4845.833333333333,4372.333333333333,5319.333333333333
2903.5,1855.6666666666667,3951.3333333333335
3064.8333333333335,3461.3333333333335,2668.3333333333335
2467.1666666666665,3226.3333333333335,1708
2335.3333333333335,2454.6666666666665,2216
2277.8333333333335,2232,2323.6666666666665
6200.333333333333,6408.333333333333,5992.333333333333
6649.5,7713.333333333333,5585.666666666667
3775,3390.6666666666665,4159.333333333333
2988.5,2575.6666666666665,3401.3333333333335
,,
1446,1521,1371
7426,4834.666666666667,10017.333333333334
