sex,finalScore
Male,3700
Female,600
Female,500
Female,700
Male,2100
Male,900
Female,900
Male,700
Male,900
Male,900
Male,200
Female,500
Male,1000
Female,800
Female,400
Male,700
Male,500
Female,400
Male,800
Male,-200
Female,1300
Male,-800
Male,200
Male,1700
Male,500
Male,300
Male,-200
Male,-500
Male,200
Male,600
Female,700
Female,800
Male,1200
Male,700
Female,1000
Male,700
Female,700
Male,700
Male,700
Male,600
Female,400
Male,400
Male,700
Male,900
Female,1500
Male,100
Female,1000
Male,800
Female,600
Male,1100
Male,100
Male,100
Male,600
Male,300
Male,300
Male,800
Male,500
Female,900
Male,600
Male,1000
Male,700
